Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 3962| Score: 1.1908 | Kept from Student| Boy in purple shirt holding a tennis rack on tennis court.
Image 3963| Score: 0.7224 | Kept from Student| a close up of a bowl with vegetables with broccolli
Image 3964| Score: 1.0659 | Kept from Student| A chef is in a restaurant making sushi.
Image 3965| Score: -0.5182 | Improved by Teacher| Two elephants stand around in an enclosed area
Image 3966| Score: -0.7792 | Improved by Teacher| A little boy sits at a breakfast table pointing at the camera.
Image 3967| Score: 0.1333 | Improved by Teacher| A passenger train speeding down the train tracks.
Image 3968| Score: 0.3184 | Improved by Teacher| Boys play a game of little league baseball in a park, inside a city
Image 3969| Score: 0.6310 | Kept from Student| A kid taking a swing at a tennis ball.
Image 3970| Score: -0.6505 | Improved by Teacher| A striped cat lying on a laptop computer atop a wooden desk with a computer mouse and a skull, with a window behind and a wire trash can below.
Image 3971| Score: 1.1191 | Kept from Student| Three children and one adult are lying on a bed reading.
Image 3972| Score: 1.8849 | Kept from Student| a close-up of a giraffe's head near a corrugated steel wall
Image 3973| Score: 1.6273 | Kept from Student| A blue motorcycle parked on a walkway near green grass.
Image 3974| Score: 0.5556 | Improved by Teacher| A train going back to its coarse filled with people.
Image 3975| Score: 1.9080 | Kept from Student| A man in a yellow shirt is surfing through the waves.
Image 3976| Score: 1.0700 | Kept from Student| A woman holds her hands out to catch a frisbee
Image 3977| Score: 0.1983 | Improved by Teacher| there is a black dog that looks like he is smiling
Image 3978| Score: 1.1899 | Kept from Student| A person riding a skateboard on the street.
Image 3979| Score: -0.4355 | Improved by Teacher| Red stoplights that are next to a train.
Image 3980| Score: 1.4796 | Kept from Student| a small child is eating some red fruit
Image 3981| Score: 0.7406 | Kept from Student| a living room with wooden floors and a pipe stove
Image 3982| Score: -0.2943 | Improved by Teacher| A street pole with one ways, except deliveries, street and no walking signs.
Image 3983| Score: -1.4048 | Improved by Teacher| A woman in black shirt talking on a cellphone.
Image 3984| Score: 1.6512 | Kept from Student| A man wearing a green shirt playing tennis.
Image 3985| Score: 1.4597 | Kept from Student| A fire hydrant is sitting near many logs. 
Image 3986| Score: -0.0495 | Improved by Teacher| A man riding a snowboard down a snow covered slope.
Image 3987| Score: 0.1630 | Improved by Teacher| A STOP sign at an intersection in a residential area,
Image 3988| Score: 1.5303 | Kept from Student| Several people looking at books displayed on a table.
Image 3989| Score: 0.8825 | Kept from Student| An elderly man and woman hold remote controllers on a couch.
Image 3990| Score: 0.7298 | Kept from Student| An antique pole clock and street lamp adorn a little cobblestone city plaza near an overpass. 
Image 3991| Score: -0.0788 | Improved by Teacher| A man is smiling as he eats his passover dinner.
Image 3992| Score: 0.7647 | Kept from Student| A picture of a woman standing in a airport with lots of luggage.
Image 3993| Score: 1.5408 | Kept from Student| a man with a hat holding a hot dog
Image 3994| Score: 1.9030 | Kept from Student| A man in a suit sitting a table with an empty bowl and empty beer bottles.
Image 3995| Score: 0.8185 | Kept from Student| A man walking in front of an open umbrella.
Image 3996| Score: 0.5056 | Improved by Teacher| A small grey cat laying on brown pillow.
Image 3997| Score: 1.2599 | Kept from Student| A group of people are traveling on a bridge over  a river system.
Image 3998| Score: 1.3871 | Kept from Student| A fridge full of variously colored glass bottles
Image 3999| Score: 0.8147 | Kept from Student| The young boy is playing baseball in the field. 
Image 4000| Score: 0.3955 | Improved by Teacher| A bathroom with a shower, small sink and toilet.
Image 4001| Score: 1.2038 | Kept from Student| Black and white photograph of two men on motorcycles.
Image 4002| Score: 0.1242 | Improved by Teacher| A fancy meal on a plate with bottles of wine.
Image 4003| Score: -1.1282 | Improved by Teacher| A small fridge and a microwave inside of a house by a door with curtains.
Image 4004| Score: -0.9665 | Improved by Teacher| a brown couch a coffee table a lamp window and television set
Image 4005| Score: 1.6554 | Kept from Student| A man on the street is holding a colorful kite.
Image 4006| Score: 1.2873 | Kept from Student| A round street clock in a busy urban area.
Image 4007| Score: 0.8033 | Kept from Student| A man licking a tie hanging on a fence. 
Image 4008| Score: 1.2004 | Kept from Student| A dog trainer training six dogs in a garden.
Image 4009| Score: -0.9178 | Improved by Teacher| A cute cat laying down in a sink.
Image 4010| Score: 1.6041 | Kept from Student| A man is riding his bicycle on a bike path.
Image 4011| Score: -0.7093 | Improved by Teacher| Two little boys are with a woman holding a kite in a grassy area.
Image 4012| Score: 1.2044 | Kept from Student| A delicious looking homemade pizza looks to be topped with fresh mozzarella, fresh basil, tomatoes and mushrooms.
Image 4013| Score: 1.4581 | Kept from Student| A white dog has curly matted hair in it's eyes.
Image 4014| Score: 1.2531 | Kept from Student| A herd of sheep walking down a road in front of a silver truck.
Image 4015| Score: -1.0322 | Improved by Teacher| A double parking meter has a clear glass semicircle on the top half of each meter.
Image 4016| Score: 0.4589 | Improved by Teacher| a group of people that are eating a pizza
Image 4017| Score: 0.2419 | Improved by Teacher| Two men sitting on a couch together and one man holding a video game remote control.
Image 4018| Score: 0.1430 | Improved by Teacher| A cat that is sitting at a desk next to a laptop.
Image 4019| Score: -0.2037 | Improved by Teacher| A cat laying under a chair next to a bottle of water.
Image 4020| Score: 0.9225 | Kept from Student| The guy is riding his motorcycle down the road with the people watching.
Image 4021| Score: -0.6468 | Improved by Teacher| A batter is standing at the mound positioned to play.
Image 4022| Score: 0.6179 | Kept from Student| A vase with several different species of flower sits on a glass table.
Image 4023| Score: 0.5083 | Improved by Teacher| The boy  is skating during the day.
Image 4024| Score: 1.8980 | Kept from Student| A blue vase with red roses centered on a white table.
Image 4025| Score: -0.3598 | Improved by Teacher| A man looking at a laptop with a confused look
Image 4026| Score: 1.9032 | Kept from Student| A yellow truck driving down a curvy road.
Image 4027| Score: 0.2670 | Improved by Teacher| A plate with a hamburger and a salad on it
Image 4028| Score: -1.0029 | Improved by Teacher| A small showcase of an assortment of funny and cute items.
Image 4029| Score: -0.2814 | Improved by Teacher| A dog with shoes on walking down a path in the winter.
Image 4030| Score: -0.0940 | Improved by Teacher| A guy on a baseball field throws a baseball. 
Image 4031| Score: -0.1453 | Improved by Teacher| A man with a guitar case in front of a store talking on a  phone
Image 4032| Score: 1.0932 | Kept from Student| A woman standing in front of the Eiffel Tower surrounded by photo shopped animals.
Image 4033| Score: 0.1020 | Improved by Teacher| young men filming skating tricks on their skateboards
Image 4034| Score: 0.7792 | Kept from Student| A city street is brightly lit with advertisements.
Image 4035| Score: 0.9149 | Kept from Student| Bicycle riders enjoying outdoor event in urban city.
Image 4036| Score: 0.6975 | Kept from Student| Two horses pulling a cart with machinery and 4 people on it
Image 4037| Score: -0.7085 | Improved by Teacher| A cat laying in a white sink in a room.
Image 4038| Score: -0.1452 | Improved by Teacher| A cat standing on top of a car trunk next to a parked motorcycle.
Image 4039| Score: 1.7628 | Kept from Student| An old man smiling while sitting on a bench.
Image 4040| Score: -1.0494 | Improved by Teacher| A small bed laying on top of a table.
Image 4041| Score: 0.2432 | Improved by Teacher| A hotdog is smothered in cheese and mustard and sitting next to onion rings.
Image 4042| Score: 1.4018 | Kept from Student| The police officers are sitting together and eating food.
Image 4043| Score: 0.7421 | Kept from Student| a group of people riding skis and snow boards 
Image 4044| Score: 0.8286 | Kept from Student| A cat is laying on a laptop on a bed
Image 4045| Score: 0.0095 | Improved by Teacher| A stoplight with a streetcar warning sign on it 
Image 4046| Score: -0.7045 | Improved by Teacher| A large exit sign on side of the road.
Image 4047| Score: -0.7738 | Improved by Teacher| A polar bear grazing in a vibrant green grass
Image 4048| Score: -0.2120 | Improved by Teacher| a white couch tan pillows coffee table and a television set
Image 4049| Score: 1.7535 | Kept from Student| Car mirror reflecting a group of people sitting on boat.
Image 4050| Score: -1.1508 | Improved by Teacher| A street sign reads "Jack Kerouac" on a street corner.
Image 4051| Score: -0.8682 | Improved by Teacher| two people outside sitting on chairs with planes around them.
Image 4052| Score: -0.9091 | Improved by Teacher| a man playing a video game as his friend looks at a laptop screen
Image 4053| Score: 1.4821 | Kept from Student| THERE IS AN ADULT AND A BABY ANIMAL IN THE WOODS
Image 4054| Score: 1.1835 | Kept from Student| A man that is standing on a track in front of a train.
Image 4055| Score: 0.7118 | Kept from Student| Sitting alone at dusk looking at the sky and water.
Image 4056| Score: 0.5774 | Improved by Teacher| Parts of a stuffed bear laying in a box.
Image 4057| Score: 0.1832 | Improved by Teacher| A little girl sitting on a park bench holding a flower.
Image 4058| Score: 0.1974 | Improved by Teacher| A pair of twin beds in a cozy cottage house.
Image 4059| Score: 1.3313 | Kept from Student| A man sitting at a bar filled with liquor.
Image 4060| Score: 0.4097 | Improved by Teacher| There is a person riding a skateboard on a tennis court
Image 4061| Score: 0.5380 | Improved by Teacher| Assortment doughnuts displayed in white takeout cardboard box.
Image 4062| Score: -0.0031 | Improved by Teacher| Three giraffes standing in an enclosure overlooking Sydney, Australia.
Image 4063| Score: 0.8009 | Kept from Student| Yellow dog watching a grey sedan drive on a rural road.
Image 4064| Score: 0.6234 | Kept from Student| A bed with lots of pillows under a picture hanging on a wall.
Image 4065| Score: 0.6210 | Kept from Student| A modern train station with several people boarding and unboarding.
Image 4066| Score: 0.0089 | Improved by Teacher| A girl next to a boy while eating dinner at a table.
Image 4067| Score: 0.0864 | Improved by Teacher| A train that is sitting on the train tracks.
Image 4068| Score: 0.0332 | Improved by Teacher| A pizza sitting next to a bowl of salad.
Image 4069| Score: -1.4038 | Improved by Teacher| A stop sign with flags on a street corner.
Image 4070| Score: 0.5277 | Improved by Teacher| Woman enjoying a piece of cake in a restaurant.
Image 4071| Score: 1.0024 | Kept from Student| Four giraffes poking their heads out from behind a rock.
Image 4072| Score: 0.1989 | Improved by Teacher| A large giraffe walking across a lush green field.
Image 4073| Score: -0.8104 | Improved by Teacher| a cat sitting on a bench outdoors next to shrubbery
Image 4074| Score: 0.0235 | Improved by Teacher| The tennis player's feet leave the ground as he hits the ball. 
Image 4075| Score: 0.4249 | Improved by Teacher| A cat looks in the open end of a cup. 
Image 4076| Score: 0.1017 | Improved by Teacher| Trees stand still in the middle of the forest.
Image 4077| Score: 0.6403 | Kept from Student| A desk with a chair and a cabinet and a laptop and a light.
